# start_node_id,start_x,start_y,end_node_id,end_x,end_y,weight
N00_00,0,0,N00_01,10,0,2.0
N00_00,0,0,N01_00,0,10,2.0
N00_00,0,0,N01_01,10,10,2.8
N00_01,10,0,N00_02,20,0,2.0
N00_01,10,0,N01_01,10,10,2.0
N00_01,10,0,N01_02,20,10,2.8
N00_02,20,0,N00_03,30,0,2.0
N00_02,20,0,N01_02,20,10,2.0
N00_02,20,0,N01_03,30,10,2.8
N00_03,30,0,N00_04,40,0,2.0
N00_03,30,0,N01_03,30,10,2.0
N00_03,30,0,N01_04,40,10,2.8
N00_04,40,0,N00_05,50,0,2.0
N00_04,40,0,N01_04,40,10,2.0
N00_04,40,0,N01_05,50,10,2.8
N00_05,50,0,N00_06,60,0,2.0
N00_05,50,0,N01_05,50,10,2.0
N00_05,50,0,N01_06,60,10,2.8
N00_06,60,0,N00_07,70,0,2.0
N00_06,60,0,N01_06,60,10,2.0
N00_06,60,0,N01_07,70,10,2.8
N00_07,70,0,N00_08,80,0,2.0
N00_07,70,0,N01_07,70,10,2.0
N00_07,70,0,N01_08,80,10,2.8
N00_08,80,0,N00_09,90,0,2.0
N00_08,80,0,N01_08,80,10,2.0
N00_08,80,0,N01_09,90,10,2.8
N00_09,90,0,N00_10,100,0,2.0
N00_09,90,0,N01_09,90,10,2.0
N00_09,90,0,N01_10,100,10,2.8
N00_10,100,0,N00_11,110,0,2.0
N00_10,100,0,N01_10,100,10,2.0
N00_10,100,0,N01_11,110,10,2.8
N00_11,110,0,N00_12,120,0,2.0
N00_11,110,0,N01_11,110,10,2.0
N00_11,110,0,N01_12,120,10,2.8
N00_12,120,0,N00_13,130,0,2.0
N00_12,120,0,N01_12,120,10,2.0
N00_12,120,0,N01_13,130,10,2.8
N00_13,130,0,N00_14,140,0,2.0
N00_13,130,0,N01_13,130,10,2.0
N00_13,130,0,N01_14,140,10,2.8
N00_14,140,0,N00_15,150,0,2.0
N00_14,140,0,N01_14,140,10,2.0
N00_14,140,0,N01_15,150,10,2.8
N00_15,150,0,N00_16,160,0,2.0
N00_15,150,0,N01_15,150,10,2.0
N00_15,150,0,N01_16,160,10,2.8
N00_16,160,0,N00_17,170,0,2.0
